"","iCuttingEdge","iEaseOfUse","iBestValue","iPreviousModelRating","iCost","iPurchaseIntent"
"1",6,5,6,5,4,3
"2",8,4,8,8,6,7
"3",3,5,5,4,3,4
"4",4,4,7,4,6,5
"5",7,5,6,5,7,6
"6",9,7,5,7,8,6
"7",5,6,4,4,4,3
"8",6,9,6,7,10,4
"9",6,7,4,5,5,4
"10",5,7,5,3,5,2
"11",7,4,7,5,6,5
"12",8,2,4,2,5,5
"13",7,6,8,6,5,3
"14",6,3,4,7,7,8
"15",10,9,9,6,8,6
"16",5,8,5,4,1,4
"17",6,4,5,3,5,5
"18",5,5,3,5,5,6
"19",10,2,4,6,7,7
"20",10,6,7,9,7,8
"21",6,8,6,5,6,4
"22",4,7,5,4,4,5
"23",5,6,8,6,6,6
"24",4,5,7,4,7,5
"25",8,4,8,7,9,6
"26",4,7,7,6,4,3
"27",6,7,10,5,8,6
"28",8,4,5,7,6,7
"29",6,7,6,5,5,5
"30",6,6,4,6,6,3
"31",6,7,4,4,8,5
"32",3,9,5,8,6,5
"33",7,6,3,3,4,3
"34",6,5,2,3,4,3
"35",5,6,3,4,4,6
"36",5,7,7,6,5,6
"37",6,6,7,8,8,4
"38",7,5,3,3,4,5
"39",7,4,5,6,6,7
"40",9,7,8,5,4,7
"41",6,6,5,7,6,5
"42",7,5,5,5,9,6
"43",7,5,5,6,5,3
"44",7,6,7,6,5,6
"45",6,6,9,4,8,1
"46",5,5,3,4,5,5
"47",7,4,3,4,7,7
"48",5,6,8,9,8,5
"49",5,6,7,6,9,5
"50",3,6,8,6,4,2
"51",7,8,6,3,4,5
"52",6,8,7,8,6,7
"53",6,7,4,6,9,5
"54",4,6,3,5,8,5
"55",6,5,5,6,5,4
"56",6,4,4,8,6,4
"57",5,6,7,3,6,3
"58",9,6,6,6,7,4
"59",7,7,7,5,3,3
"60",5,7,5,7,7,6
"61",6,8,4,5,6,5
"62",6,9,6,5,5,7
"63",6,8,7,6,5,5
"64",6,6,3,4,4,5
"65",7,5,3,4,4,7
"66",3,8,7,6,7,5
"67",7,2,2,7,5,5
"68",4,5,4,5,5,5
"69",7,5,6,3,2,3
"70",6,5,4,5,3,7
"71",6,6,8,6,4,7
"72",6,2,6,6,5,6
"73",5,6,6,6,6,5
"74",7,6,4,4,5,8
"75",3,6,4,6,6,5
"76",6,4,7,7,9,4
"77",8,9,7,8,9,5
"78",3,7,7,6,6,7
"79",7,4,6,5,4,5
"80",6,7,5,5,4,5
"81",7,8,4,3,4,4
"82",7,5,5,7,9,6
"83",4,7,6,7,7,7
"84",6,4,5,4,4,6
"85",6,1,4,5,4,3
"86",6,3,2,3,2,4
"87",8,4,6,3,3,5
"88",5,7,9,5,5,6
"89",5,8,8,7,5,6
"90",7,7,6,5,6,5
"91",9,5,6,5,8,5
"92",4,8,8,6,4,7
"93",6,3,3,6,5,5
"94",7,7,8,4,6,6
"95",7,4,7,6,8,7
"96",6,6,6,9,7,3
"97",3,4,5,2,4,4
"98",6,7,5,6,6,7
"99",5,4,4,3,3,4
"100",8,5,7,6,3,4
"101",7,7,9,8,7,6
