"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive"
"1",4,3,5,4,4,5,4,4,4
"2",5,4,3,3,3,5,3,3,4
"3",3,3,7,3,7,3,6,4,4
"4",4,3,3,6,2,3,5,3,2
"5",3,3,4,2,5,4,6,4,5
"6",5,4,6,4,5,4,4,4,4
"7",3,4,4,4,4,4,3,3,1
"8",5,5,4,5,5,5,3,5,4
"9",5,4,4,3,3,5,5,5,5
"10",4,4,4,7,5,3,4,5,5
"11",3,3,2,6,4,2,4,4,3
"12",2,6,4,5,4,3,4,2,3
"13",4,2,4,4,4,3,4,5,3
"14",6,5,4,5,5,2,4,3,3
"15",3,3,3,3,5,3,3,4,4
"16",2,2,3,5,2,3,4,4,3
"17",4,5,4,4,3,4,1,4,3
"18",4,3,5,4,6,4,3,4,3
"19",3,4,6,2,4,5,4,4,5
"20",4,2,5,7,6,5,4,5,5
"21",4,4,3,5,4,3,3,2,3
"22",4,4,3,6,4,4,5,5,5
"23",2,3,4,5,4,3,5,2,3
"24",4,2,3,6,4,4,5,4,4
"25",6,4,4,4,4,4,4,3,3
"26",5,5,4,1,5,5,4,4,2
"27",3,3,3,5,4,4,4,4,4
"28",4,4,3,4,4,4,3,3,6
"29",3,3,3,4,3,4,4,2,4
"30",4,4,5,5,6,2,5,2,4
"31",6,4,3,5,3,4,1,4,4
"32",5,5,4,4,3,2,2,4,2
"33",4,4,4,3,4,4,5,4,4
"34",4,5,5,4,4,4,4,4,4
"35",6,5,4,4,4,5,4,7,7
"36",4,2,2,3,3,3,4,2,3
"37",1,2,3,3,4,2,5,3,3
"38",4,2,4,5,5,5,4,6,5
"39",4,5,5,3,5,5,5,3,3
"40",2,1,4,5,4,4,4,5,3
"41",3,6,5,2,5,2,3,2,2
"42",4,3,6,5,4,3,5,5,3
"43",5,1,5,4,3,4,3,5,6
"44",6,3,4,3,5,5,4,4,4
"45",6,5,2,2,3,4,3,4,5
"46",4,5,4,5,4,2,4,3,4
"47",3,3,3,4,2,5,3,4,4
"48",3,4,5,5,3,4,3,6,5
"49",3,2,3,5,4,4,3,6,3
"50",4,3,3,4,4,3,6,2,4
"51",5,5,5,4,3,4,4,5,5
"52",5,3,4,5,5,6,5,4,6
"53",4,4,3,4,5,5,2,3,5
"54",1,5,5,4,3,4,3,2,3
"55",3,4,4,6,4,3,6,3,5
"56",3,2,3,5,4,4,5,3,5
"57",5,5,2,4,3,4,4,3,4
"58",5,3,4,5,5,4,5,5,3
"59",3,3,5,4,4,5,3,5,3
"60",5,5,3,5,6,5,4,4,4
"61",2,4,4,3,2,5,3,5,5
"62",3,3,4,3,3,5,5,6,5
"63",4,2,2,4,4,6,3,5,5
"64",5,3,2,4,2,3,2,4,4
"65",4,2,4,3,3,3,2,2,4
"66",4,6,3,6,3,5,5,3,5
"67",6,6,5,6,6,5,3,4,4
"68",4,3,5,3,3,5,6,5,5
"69",4,3,3,4,2,4,4,4,4
"70",5,4,3,4,4,2,3,2,1
"71",4,2,3,6,3,4,3,4,5
"72",4,5,3,2,4,5,3,5,5
"73",4,1,4,4,4,5,4,5,4
"74",4,2,3,6,6,5,4,6,3
"75",4,3,4,4,5,5,4,4,4
"76",2,4,4,3,4,3,3,1,4
"77",3,3,4,5,3,4,4,5,7
"78",6,6,3,5,2,4,1,5,5
"79",3,4,4,6,5,3,3,3,2
"80",5,4,6,4,5,6,4,4,6
"81",7,4,6,4,3,5,4,6,6
"82",4,3,4,3,3,4,5,4,3
"83",5,4,3,3,5,4,3,3,5
"84",5,5,4,6,6,4,3,7,5
