"","margin","item","price"
"1",24.231,"item1",498.99
"2",4.447,"item10",54.99
"3",0.431,"item100",2.19
"4",-0.534,"item101",0.49
"5",1.593,"item102",13.29
"6",1.767,"item103",15.39
"7",-0.745,"item104",3.09
"8",1.493,"item105",13.89
"9",2.247,"item106",24.59
"10",-0.219,"item107",0.49
"11",2.092,"item108",22.29
"12",12.884,"item109",255.99
"13",-0.524,"item11",0.49
"14",2.309,"item110",25.49
"15",1.409,"item111",12.79
"16",1.831,"item112",20.79
"17",4.038,"item113",61.99
"18",0.373,"item115",2.39
"19",9.607,"item116",196.99
"20",-0.853,"item117",7.79
"21",6.768,"item118",123.99
"22",4.601,"item119",73.99
"23",0.248,"item12",1.39
"24",0.906,"item120",7.79
"25",0.013,"item121",0.09
"26",1.209,"item122",12.99
"27",0.386,"item123",2.79
"28",-0.029,"item124",0.09
"29",5.098,"item125",94.39
"30",-0.594,"item126",1.39
"31",0.386,"item127",2.79
"32",-0.016,"item129",0.09
"33",0.734,"item13",6.49
"34",6.99,"item130",143.99
"35",15.696,"item131",453.99
"36",2.623,"item132",41.89
"37",6.09,"item133",131.99
"38",0.412,"item134",3.29
"39",7.413,"item135",170.99
"40",-0.54,"item136",0.79
"41",-0.346,"item137",0.49
"42",0.021,"item138",0.09
"43",0.736,"item139",7.19
"44",0.822,"item14",8.29
"45",0.344,"item140",2.59
"46",-0.522,"item141",0.69
"47",24.054,"item142",849
"48",0.058,"item143",0.39
"49",3.227,"item144",60.79
"50",16.722,"item145",539
"51",3.679,"item146",72.79
"52",-0.29,"item147",0.69
"53",4.712,"item148",101.99
"54",0.774,"item149",8.39
"55",-0.43,"item15",0.19
"56",118.358,"item150",5879
"57",-0.223,"item151",0.69
"58",7.369,"item152",200.99
"59",9.046,"item153",262.99
"60",-0.299,"item154",0.69
"61",3.142,"item155",63.49
"62",-0.497,"item156",0.39
"63",4.321,"item157",98.19
"64",1.117,"item158",15.09
"65",5.304,"item159",128.99
"66",7.561,"item16",207.99
"67",-0.467,"item160",0.09
"68",0.886,"item161",10.89
"69",0.981,"item162",12.59
"70",-0.202,"item163",0.79
"71",-0.033,"item164",0.19
"72",-0.085,"item165",0.49
"73",-0.024,"item166",0.09
"74",5.064,"item167",130.99
"75",5.279,"item168",138.99
"76",0.161,"item169",1.29
"77",-0.837,"item17",10.99
"78",0.179,"item170",1.49
"79",1.852,"item171",32.89
"80",-0.509,"item173",0.59
"81",9.514,"item174",301.99
"82",2.48,"item175",49.29
"83",0.216,"item176",1.89
"84",1.565,"item177",25.99
"85",3.896,"item178",98.39
"86",2.055,"item179",40.69
"87",0.078,"item18",0.59
"88",0.408,"item180",4.39
"89",9.112,"item181",305.99
"90",-0.553,"item182",1.29
"91",1.618,"item183",29.19
"92",0.578,"item184",6.99
"93",6.093,"item185",179.99
"94",0.634,"item186",7.99
"95",2.457,"item187",52.19
"96",1.607,"item188",28.89
"97",2.893,"item189",65.39
"98",2.089,"item19",41.59
"99",3.411,"item190",81.99
"100",5.119,"item191",151.99
"101",8.268,"item192",287.99
"102",0.867,"item193",13.09
"103",1.359,"item194",24.39
"104",18.01,"item195",789
"105",34.278,"item196",1759
"106",-0.52,"item197",0.89
"107",0.113,"item198",0.99
"108",1.949,"item2",40.29
"109",-0.825,"item20",11.59
"110",2.666,"item200",62.29
"111",2.053,"item201",43.39
"112",7.068,"item202",233.99
"113",-0.47,"item203",0.19
"114",2.98,"item204",72.69
"115",-0.415,"item205",0.29
"116",4.718,"item206",144.99
"117",1.362,"item207",25.99
"118",0.599,"item208",8.39
"119",4.565,"item209",137.99
"120",-0.507,"item210",0.69
"121",-0.322,"item211",0.89
"122",0.963,"item212",16.09
"123",-0.199,"item213",0.99
"124",3.032,"item214",79.09
"125",4.047,"item215",116.99
"126",5.828,"item216",191.99
"127",-0.924,"item217",23.89
"128",0.91,"item218",14.79
"129",6.657,"item219",228.99
"130",1.193,"item22",21.59
"131",58.525,"item220",3589
"132",0.994,"item221",16.79
"133",2.405,"item222",60.79
"134",-0.455,"item223",0.19
"135",-0.854,"item224",15.59
"136",-0.246,"item225",1.09
"137",-0.674,"item226",4.89
"138",12.741,"item227",569
"139",-0.871,"item228",17.39
"140",-0.014,"item229",0.09
"141",-0.63,"item23",3.39
"142",5.954,"item230",208.99
"143",0.64,"item231",9.69
"144",-0.314,"item232",0.99
"145",4.512,"item233",143.99
"146",5.24,"item234",175.99
"147",2.478,"item235",63.39
"148",0.774,"item236",12.59
"149",35.473,"item237",2059
"150",0.132,"item238",1.29
"151",18.177,"item239",939
"152",0.206,"item24",2.39
"153",1.783,"item240",42.29
"154",-0.969,"item241",40.59
"155",0.615,"item242",9.69
"156",-0.631,"item243",3.69
"157",3.571,"item244",110.99
"158",15.976,"item245",799
"159",-0.057,"item246",0.49
"160",-0.276,"item247",1.09
"161",2.246,"item248",58.29
"162",-0.616,"item249",3.19
"163",9.212,"item25",393.99
"164",-0.897,"item250",21.99
"165",-0.044,"item251",0.39
"166",0.588,"item252",9.09
"167",-0.442,"item253",0.09
"168",0.345,"item254",4.49
"169",-0.613,"item256",3.09
"170",3.766,"item257",124.99
"171",-0.43,"item258",0.29
"172",1.202,"item259",25.69
"173",0.422,"item26",6.19
"174",10.355,"item260",482.99
"175",-0.321,"item261",0.99
"176",2.237,"item262",61.09
"177",-0.714,"item263",7.19
"178",11.476,"item264",549
"179",0.657,"item265",11.19
"180",0.621,"item266",10.29
"181",0.123,"item267",1.39
"182",6.844,"item269",279.99
"183",93.678,"item27",7419
"184",0.818,"item270",15.09
"185",1.557,"item271",36.89
"186",3.489,"item272",112.99
"187",5.285,"item273",197.99
"188",-0.784,"item274",11.19
"189",0.952,"item275",18.59
"190",-0.726,"item276",8.19
"191",9.316,"item277",440.99
"192",-0.253,"item278",1.29
"193",8.672,"item279",401.99
"194",-0.371,"item28",0.79
"195",3.294,"item280",108.99
"196",1.952,"item281",52.99
"197",4.861,"item282",185.99
"198",-0.465,"item283",0.19
"199",5.629,"item284",225.99
"200",-0.607,"item285",3.29
"201",3.043,"item286",98.19
"202",6.704,"item287",285.99
"203",1.305,"item288",30.29
"204",11.07,"item289",549
"205",0.581,"item29",9.89
"206",0.898,"item290",17.99
"207",-0.434,"item291",0.19
"208",-0.551,"item292",1.79
"209",-0.301,"item293",1.19
"210",1.655,"item294",42.09
"211",0.428,"item295",6.89
"212",2.624,"item297",83.79
"213",15.267,"item298",879
"214",-0.04,"item299",0.39
"215",1.859,"item3",51.89
"216",3.098,"item30",104.99
"217",4.558,"item300",178.99
"218",9.296,"item301",460.99
"219",1.406,"item302",35.19
"220",3.785,"item303",138.99
"221",0.874,"item304",18.19
"222",6.465,"item305",285.99
"223",-0.884,"item306",23.19
"224",0.305,"item307",4.49
"225",35.015,"item308",2479
"226",1.851,"item309",51.59
"227",-0.891,"item31",24.39
"228",5.526,"item310",230.99
"229",6.162,"item311",267.99
"230",1.073,"item312",24.09
"231",10.947,"item313",569
"232",-0.228,"item314",1.29
"233",0.332,"item315",5.19
"234",6.274,"item316",286.99
"235",0.849,"item317",18.19
"236",1.821,"item318",52.69
"237",2.816,"item319",96.59
"238",2.588,"item32",85.99
"239",22.785,"item320",1519
"240",-0.309,"item321",1.29
"241",1.104,"item322",26.19
"242",-0.196,"item323",1.29
"243",3.346,"item324",121.99
"244",-0.923,"item325",32.09
"245",0.998,"item326",22.79
"246",-0.696,"item327",7.29
"247",5.936,"item328",265.99
"248",1.405,"item329",36.69
"249",-0.806,"item33",14.79
"250",0.724,"item330",14.69
"251",5.342,"item331",230.99
"252",-0.095,"item332",0.79
"253",-0.58,"item333",2.79
"254",0.003,"item334",0.19
"255",0.252,"item335",3.69
"256",11.538,"item336",669
"257",-0.641,"item337",4.99
"258",3.445,"item338",132.99
"259",0.956,"item339",22.39
"260",0.577,"item34",11.19
"261",4.399,"item340",185.99
"262",0.242,"item341",3.69
"263",1.174,"item342",29.79
"264",-0.947,"item343",40.79
"265",-0.491,"item344",0.69
"266",0.457,"item345",8.19
"267",0.015,"item346",0.19
"268",18.36,"item347",1209
"269",-0.276,"item348",1.39
"270",1.742,"item349",51.69
"271",-0.763,"item35",11.79
"272",-0.604,"item350",3.69
"273",0.563,"item351",10.89
"274",-0.498,"item352",0.79
"275",2.125,"item353",68.19
"276",2.024,"item354",63.79
"277",0.329,"item355",5.39
"278",0.062,"item356",0.79
"279",3.266,"item357",123.99
"280",0.844,"item358",19.69
"281",2.906,"item359",109.99
"282",47.384,"item36",4079
"283",2.212,"item360",75.19
"284",0.004,"item361",0.19
"285",0.993,"item362",24.59
"286",-0.113,"item363",0.99
"287",3.028,"item364",115.99
"288",37.667,"item365",3079
"289",26.104,"item366",1959
"290",-0.228,"item367",1.49
"291",3.994,"item368",169.99
"292",1.472,"item369",42.59
"293",16.132,"item37",1069
"294",-0.935,"item370",38.29
"295",1.495,"item371",43.49
"296",2.242,"item372",76.59
"297",2.576,"item373",92.79
"298",-0.208,"item374",1.49
"299",0.414,"item375",7.49
"300",25.259,"item376",1879
"301",2.592,"item377",93.69
"302",0.1,"item378",1.29
"303",2.75,"item379",101.99
"304",11.312,"item38",679
"305",0.384,"item380",7.09
"306",3.597,"item381",152.99
"307",0.296,"item382",5.09
"308",0.715,"item383",16.29
"309",10.18,"item384",609
"310",0.81,"item385",19.29
"311",12.171,"item386",769
"312",3.717,"item387",159.99
"313",6.674,"item388",351.99
"314",-0.829,"item389",19.29
"315",1.462,"item39",43.89
"316",2.477,"item390",91.49
"317",1.09,"item391",29.19
"318",0.605,"item392",12.99
"319",2.023,"item393",68.99
"320",16.937,"item394",1179
"321",-0.02,"item395",0.19
"322",52.305,"item396",4789
"323",0.85,"item397",20.69
