"";"resp.id";"ques";"alt";"carpool";"seat";"cargo";"eng";"price";"choice"
"1";1;1;1;"yes";"6";"2ft";"gas";"35";0
"2";1;1;2;"yes";"8";"3ft";"hyb";"30";0
"3";1;1;3;"yes";"6";"3ft";"gas";"30";1
"4";1;2;1;"yes";"6";"2ft";"gas";"30";0
"5";1;2;2;"yes";"7";"3ft";"gas";"35";1
"6";1;2;3;"yes";"6";"2ft";"elec";"35";0
"7";1;3;1;"yes";"8";"3ft";"gas";"35";1
"8";1;3;2;"yes";"7";"3ft";"elec";"30";0
"9";1;3;3;"yes";"8";"2ft";"elec";"40";0
"10";1;4;1;"yes";"7";"3ft";"elec";"40";1
"11";1;4;2;"yes";"8";"3ft";"gas";"40";0
"12";1;4;3;"yes";"6";"2ft";"hyb";"30";0
"13";1;5;1;"yes";"6";"3ft";"elec";"30";1
"14";1;5;2;"yes";"6";"3ft";"elec";"40";0
"15";1;5;3;"yes";"6";"3ft";"hyb";"40";0
"16";1;6;1;"yes";"6";"2ft";"elec";"40";0
"17";1;6;2;"yes";"7";"2ft";"gas";"35";1
"18";1;6;3;"yes";"7";"2ft";"hyb";"35";0
"19";1;7;1;"yes";"6";"3ft";"hyb";"35";1
"20";1;7;2;"yes";"7";"3ft";"gas";"40";0
"21";1;7;3;"yes";"6";"2ft";"elec";"30";0
"22";1;8;1;"yes";"6";"3ft";"elec";"35";0
"23";1;8;2;"yes";"8";"3ft";"hyb";"40";0
"24";1;8;3;"yes";"7";"3ft";"hyb";"30";1
"25";1;9;1;"yes";"6";"2ft";"hyb";"35";1
"26";1;9;2;"yes";"7";"2ft";"gas";"30";0
"27";1;9;3;"yes";"7";"2ft";"gas";"40";0
"28";1;10;1;"yes";"8";"3ft";"elec";"35";0
"29";1;10;2;"yes";"8";"3ft";"elec";"30";1
"30";1;10;3;"yes";"7";"2ft";"elec";"35";0
"31";1;11;1;"yes";"7";"3ft";"hyb";"35";1
"32";1;11;2;"yes";"8";"2ft";"hyb";"40";0
"33";1;11;3;"yes";"6";"2ft";"hyb";"40";0
"34";1;12;1;"yes";"8";"3ft";"elec";"40";0
"35";1;12;2;"yes";"8";"2ft";"hyb";"35";0
"36";1;12;3;"yes";"8";"2ft";"gas";"35";1
"37";1;13;1;"yes";"6";"3ft";"hyb";"30";0
"38";1;13;2;"yes";"8";"2ft";"hyb";"30";1
"39";1;13;3;"yes";"8";"3ft";"gas";"30";0
"40";1;14;1;"yes";"8";"2ft";"gas";"40";0
"41";1;14;2;"yes";"8";"2ft";"elec";"30";0
"42";1;14;3;"yes";"7";"2ft";"elec";"30";1
"43";1;15;1;"yes";"7";"2ft";"hyb";"30";0
"44";1;15;2;"yes";"7";"3ft";"hyb";"40";1
"45";1;15;3;"yes";"7";"3ft";"gas";"30";0
"46";2;1;1;"no";"6";"2ft";"elec";"40";1
"47";2;1;2;"no";"7";"3ft";"gas";"40";0
"48";2;1;3;"no";"6";"2ft";"elec";"30";0
"49";2;2;1;"no";"6";"2ft";"gas";"30";1
"50";2;2;2;"no";"6";"3ft";"hyb";"40";0
"51";2;2;3;"no";"7";"2ft";"gas";"30";0
