"","resp_id","ques","alt","segment","seat","trans","convert","price","choice"
"1",1,1,1,"basic",2,"manual","yes",35,0
"2",1,1,2,"basic",5,"auto","no",40,0
"3",1,1,3,"basic",5,"auto","no",30,1
"4",1,2,1,"basic",5,"manual","no",35,0
"5",1,2,2,"basic",2,"manual","no",30,1
"6",1,2,3,"basic",4,"auto","no",35,0
"7",1,3,1,"basic",5,"auto","yes",35,1
"8",1,3,2,"basic",4,"auto","yes",30,0
"9",1,3,3,"basic",4,"manual","no",40,0
"10",1,4,1,"basic",2,"manual","yes",30,0
"11",1,4,2,"basic",4,"manual","yes",40,0
"12",1,4,3,"basic",4,"auto","yes",35,1
"13",1,5,1,"basic",5,"manual","yes",40,0
"14",1,5,2,"basic",5,"manual","no",30,1
"15",1,5,3,"basic",2,"auto","yes",40,0
"16",1,6,1,"basic",2,"auto","yes",35,0
"17",1,6,2,"basic",4,"manual","yes",35,0
"18",1,6,3,"basic",2,"auto","no",30,1
"19",1,7,1,"basic",4,"manual","no",30,1
"20",1,7,2,"basic",2,"manual","no",35,0
"21",1,7,3,"basic",5,"manual","yes",35,0
"22",1,8,1,"basic",5,"auto","no",35,1
"23",1,8,2,"basic",2,"auto","yes",30,0
"24",1,8,3,"basic",2,"auto","no",35,0
"25",1,9,1,"basic",4,"manual","yes",30,1
"26",1,9,2,"basic",4,"auto","yes",40,0
"27",1,9,3,"basic",2,"manual","no",40,0
"28",1,10,1,"basic",5,"auto","yes",40,1
"29",1,10,2,"basic",4,"auto","no",30,0
"30",1,10,3,"basic",2,"manual","yes",40,0
"31",2,1,1,"basic",5,"manual","no",35,0
"32",2,1,2,"basic",5,"manual","yes",35,0
"33",2,1,3,"basic",4,"auto","yes",40,1
"34",2,2,1,"basic",4,"manual","no",30,0
"35",2,2,2,"basic",2,"auto","yes",35,0
"36",2,2,3,"basic",4,"auto","no",35,1
"37",2,3,1,"basic",2,"auto","no",40,0
"38",2,3,2,"basic",4,"manual","yes",35,0
"39",2,3,3,"basic",5,"auto","yes",35,1
"40",2,4,1,"basic",2,"auto","no",35,1
"41",2,4,2,"basic",4,"manual","no",40,0
"42",2,4,3,"basic",5,"auto","no",35,0
"43",2,5,1,"basic",5,"manual","no",30,1
"44",2,5,2,"basic",4,"manual","yes",40,0
"45",2,5,3,"basic",4,"auto","no",40,0
"46",2,6,1,"basic",2,"manual","yes",40,0
"47",2,6,2,"basic",4,"auto","no",30,0
"48",2,6,3,"basic",4,"manual","yes",30,1
"49",2,7,1,"basic",5,"auto","no",30,0
"50",2,7,2,"basic",2,"auto","no",30,1
"51",2,7,3,"basic",5,"manual","yes",30,0
"52",2,8,1,"basic",2,"manual","yes",35,0
"53",2,8,2,"basic",2,"manual","yes",30,0
"54",2,8,3,"basic",2,"auto","yes",30,1
"55",2,9,1,"basic",4,"auto","yes",30,0
"56",2,9,2,"basic",2,"manual","no",30,0
"57",2,9,3,"basic",4,"manual","no",35,1
"58",2,10,1,"basic",5,"auto","yes",40,1
"59",2,10,2,"basic",5,"auto","no",40,0
"60",2,10,3,"basic",2,"manual","no",35,0
"61",3,1,1,"basic",4,"auto","yes",35,1
"62",3,1,2,"basic",4,"auto","no",35,0
"63",3,1,3,"basic",5,"auto","yes",40,0
"64",3,2,1,"basic",4,"manual","no",35,0
"65",3,2,2,"basic",4,"auto","yes",40,1
"66",3,2,3,"basic",2,"manual","yes",40,0
"67",3,3,1,"basic",4,"manual","yes",30,0
