"","satCleanRoom","satCleanBath","satCleanCommon","satFrontStaff","satDiningStaff","satHouseStaff","satValetStaff","satPerks","satRoomPrice","satDiningPrice","satWifiPrice","satParkingPrice","satCity","satCloseTransp","satCloseEvents","satPoints","satRecognition","satOverall","distanceTraveled","nightsStayed","visitPurpose","avgRoomSpendPerNight","avgFoodSpendPerNight","avgWifiSpendPerNight","eliteStatus"
"1",6,4,2,2,2,4,4,3,3,4,3,5,3,4,3,4,3,5,790,1,"SportsEvent",129,5,7.95,"Silver"
"2",4,6,5,5,5,4,5,6,4,5,5,6,4,5,3,4,5,4,36,7,"Concert",139,5.38,8.97857142857143,"Gold"
"3",5,4,4,5,5,6,5,4,4,4,5,4,4,6,6,4,4,5,146,3,"Business",152.333333333333,0,6.95,"Platinum"
"4",4,4,4,3,3,4,4,3,4,3,4,3,2,4,4,2,2,5,1768,1,"SportsEvent",149,75.09,5,"NoStatus"
"5",2,4,2,4,5,4,4,4,3,5,3,4,4,4,5,3,3,4,281,3,"OtherOrMixed",169,36.99,6.95,"Silver"
"6",5,3,4,4,4,3,2,4,4,5,6,5,4,5,3,3,4,4,885,2,"Conference",159,10,8.975,"Gold"
"7",1,4,2,4,3,5,3,3,3,4,3,4,4,1,5,3,1,4,352,4,"SportsEvent",154,10.16,4.475,"NoStatus"
"8",2,3,3,2,3,5,3,3,6,3,4,3,3,2,3,2,2,1,680,4,"SportsEvent",164,24.74,9.475,"NoStatus"
"9",2,4,3,2,2,3,2,5,3,3,3,4,4,5,6,5,5,3,1198,6,"Business",160.666666666667,18.14,4.64166666666667,"Silver"
"10",1,2,5,3,3,3,3,3,1,4,3,3,5,5,4,4,4,1,64,2,"Concert",149,10,4.975,"NoStatus"
"11",3,4,3,2,3,4,5,3,2,3,4,3,4,2,4,3,5,2,425,6,"Concert",155.666666666667,11.09,7.125,"Silver"
"12",5,4,4,6,5,6,4,5,3,4,5,6,5,5,5,6,5,6,478,6,"Business",139,37.07,4.64166666666667,"Silver"
"13",2,3,3,3,3,5,4,4,3,5,3,3,2,4,3,5,4,4,243,3,"Conference",139,15,4.3,"Silver"
"14",4,5,3,4,4,4,5,5,5,4,4,4,4,6,4,3,4,5,766,6,"Vacation",152.333333333333,5.45,5.3,"NoStatus"
"15",3,5,5,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,216,4,"Business",154,10,11.2125,"Silver"
"16",4,4,5,5,5,4,3,5,4,3,4,5,4,6,6,5,5,5,1557,4,"Conference",146.5,12.36,4.975,"Gold"
"17",4,4,5,2,3,5,5,3,4,2,4,3,3,1,5,4,3,2,783,2,"Conference",159,5,9.975,"Silver"
"18",6,5,4,4,4,6,4,3,2,3,3,4,5,3,5,3,3,3,589,2,"Concert",139,30.2,4.975,"NoStatus"
"19",4,4,5,4,4,3,4,4,5,5,3,4,5,4,5,4,5,3,304,2,"Conference",139,33.38,8.975,"Silver"
"20",3,5,3,5,6,5,6,4,3,2,3,3,3,4,5,3,3,2,368,3,"SportsEvent",159,54.04,5.3,"Silver"
"21",5,4,3,4,3,4,3,6,3,5,4,3,5,5,4,4,3,5,701,3,"Business",155.666666666667,23.68,8.61666666666667,"NoStatus"
"22",4,5,5,5,4,6,5,4,4,2,5,4,4,2,4,4,5,5,978,1,"Vacation",139,5,14.95,"Gold"
"23",3,4,5,4,5,4,4,5,4,4,4,4,4,5,4,3,2,5,481,5,"Conference",131,5,11.56,"Silver"
"24",5,4,5,5,5,3,4,5,4,5,4,4,3,5,5,3,5,3,750,3,"Conference",152.333333333333,10,9.96666666666667,"Gold"
"25",5,5,6,2,1,2,1,4,5,4,3,4,4,4,4,4,4,4,741,2,"OtherOrMixed",144,39.29,11.45,"NoStatus"
"26",4,3,3,3,3,4,2,4,4,5,5,4,3,2,6,4,3,4,801,3,"Vacation",169,32.61,4.3,"Silver"
