"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
"1",6,5,4,4,3,4,5,4,3,"Sierra"
"2",4,3,4,2,4,4,5,2,5,"Romeo"
"3",3,2,3,6,5,5,6,4,3,"Sierra"
"4",4,1,4,4,5,4,5,3,3,"Sierra"
"5",4,1,3,3,3,5,5,4,4,"Sierra"
"6",4,3,4,4,3,4,6,2,4,"Sierra"
"7",5,3,5,4,6,3,5,3,4,"Romeo"
"8",4,2,7,5,4,3,5,4,4,"Sierra"
"9",5,4,4,3,3,4,4,3,3,"Sierra"
"10",5,3,5,4,5,6,4,5,5,"Sierra"
"11",3,3,5,4,4,4,3,6,4,"Romeo"
"12",6,3,3,4,4,3,4,3,4,"Romeo"
"13",4,3,5,4,6,4,3,5,5,"Romeo"
"14",5,4,5,4,4,4,5,4,4,"Sierra"
"15",4,4,3,6,4,6,4,3,4,"Sierra"
"16",3,4,3,5,4,5,4,4,3,"Sierra"
"17",3,3,3,4,3,3,3,3,4,"Romeo"
"18",4,4,4,4,4,4,5,4,3,"Sierra"
"19",5,5,5,5,4,3,5,3,2,"Tango"
"20",4,3,3,3,5,3,3,4,4,"Sierra"
"21",4,6,5,5,4,5,2,5,4,"Sierra"
"22",4,4,3,3,3,5,4,4,4,"Tango"
"23",4,5,4,3,4,5,5,4,3,"Sierra"
"24",4,3,5,5,3,5,3,4,5,"Sierra"
"25",4,5,2,2,4,5,3,4,4,"Papa"
"26",2,1,4,4,5,4,5,3,4,"Tango"
"27",4,4,3,4,4,3,4,3,4,"Sierra"
"28",5,5,3,4,5,6,3,7,5,"Papa"
"29",3,3,2,4,3,5,4,6,4,"Papa"
"30",5,5,5,3,3,4,5,5,3,"Romeo"
"31",3,4,4,4,5,3,4,4,3,"Romeo"
"32",2,1,5,4,4,4,6,4,4,"Romeo"
"33",4,3,3,2,2,4,3,2,4,"Sierra"
"34",4,3,3,3,3,5,3,5,5,"Romeo"
"35",5,3,2,3,3,4,4,3,3,"Romeo"
"36",4,4,5,3,2,4,4,6,4,"Romeo"
"37",5,4,3,4,4,7,4,5,5,"Romeo"
"38",5,5,4,5,5,5,4,5,5,"Papa"
"39",5,5,5,3,4,4,5,6,3,"Tango"
"40",3,4,3,4,4,5,3,3,4,"Romeo"
"41",4,5,4,5,5,4,5,2,4,"Sierra"
"42",4,4,4,5,4,4,5,3,5,"Sierra"
"43",3,2,3,3,3,5,3,4,4,"Papa"
"44",4,3,3,6,5,4,4,3,3,"Sierra"
"45",5,3,4,2,2,6,4,6,6,"Papa"
"46",4,4,6,4,4,5,4,3,4,"Sierra"
"47",3,4,4,4,3,3,3,1,1,"Tango"
"48",6,6,5,4,4,5,3,4,5,"Sierra"
"49",4,5,1,4,2,2,3,2,1,"Papa"
"50",5,4,5,3,4,3,3,5,5,"Romeo"
"51",5,4,3,5,4,5,3,5,4,"Sierra"
"52",6,4,4,3,4,4,4,4,5,"Papa"
"53",4,4,4,4,3,5,5,3,4,"Romeo"
"54",6,4,4,5,4,3,4,2,3,"Tango"
"55",6,5,5,4,6,6,5,6,4,"Sierra"
"56",5,5,4,3,3,5,4,4,2,"Romeo"
"57",5,4,3,5,4,4,4,5,2,"Sierra"
"58",4,5,3,3,1,4,4,3,3,"Papa"
"59",4,4,5,6,5,4,4,5,4,"Sierra"
"60",4,3,5,3,5,5,4,4,3,"Romeo"
"61",4,4,5,5,5,2,4,1,4,"Tango"
"62",5,3,6,4,4,5,4,5,4,"Sierra"
"63",2,2,3,3,2,4,4,4,3,"Papa"
"64",3,4,5,5,4,4,5,2,4,"Sierra"
"65",4,4,6,5,4,5,5,4,4,"Romeo"
"66",5,3,5,4,3,5,3,5,4,"Papa"
"67",4,4,2,3,3,4,5,3,3,"Papa"
"68",5,3,4,4,4,4,3,4,5,"Romeo"
"69",5,4,4,3,4,5,3,3,2,"Sierra"
"70",3,3,3,4,4,2,4,3,4,"Romeo"
"71",4,5,6,5,5,4,6,3,4,"Sierra"
"72",4,4,4,3,4,4,5,3,2,"Sierra"
"73",3,3,4,3,5,4,4,5,3,"Sierra"
"74",3,4,5,4,4,4,3,2,2,"Romeo"
"75",4,4,3,6,4,4,3,3,4,"Tango"
"76",4,4,3,5,2,4,3,3,4,"Romeo"
"77",5,5,5,3,4,2,3,2,3,"Sierra"
"78",4,3,5,6,4,5,3,4,4,"Sierra"
"79",3,4,2,2,3,3,4,4,4,"Romeo"
"80",4,3,3,4,3,4,3,2,2,"Romeo"
