"","resp.id","rating","price","color","zipper","finish"
"1",1,3,17,"gray","silver","patent"
"2",1,10,15,"navy","silver","matte"
"3",1,9,15,"black","gold","patent"
"4",1,6,19,"navy","gold","matte"
"5",1,2,19,"navy","silver","patent"
"6",1,6,15,"gray","silver","patent"
"7",1,10,15,"black","silver","matte"
"8",1,5,17,"navy","silver","patent"
"9",1,2,19,"navy","silver","patent"
"10",1,7,17,"navy","gold","patent"
"11",1,9,20,"gray","silver","matte"
"12",1,4,17,"gray","silver","patent"
"13",1,10,20,"gray","silver","matte"
"14",1,10,20,"black","silver","patent"
"15",1,6,20,"navy","gold","matte"
"16",2,6,17,"gray","silver","patent"
"17",2,6,15,"navy","silver","matte"
"18",2,5,15,"black","gold","patent"
"19",2,3,19,"navy","gold","matte"
"20",2,4,19,"navy","silver","patent"
"21",2,7,15,"gray","silver","patent"
"22",2,10,15,"black","silver","matte"
"23",2,4,17,"navy","silver","patent"
"24",2,2,19,"navy","silver","patent"
"25",2,2,17,"navy","gold","patent"
"26",2,10,20,"gray","silver","matte"
"27",2,5,17,"gray","silver","patent"
"28",2,8,20,"gray","silver","matte"
"29",2,10,20,"black","silver","patent"
"30",2,6,20,"navy","gold","matte"
"31",3,3,17,"gray","silver","patent"
"32",3,8,15,"navy","silver","matte"
"33",3,9,15,"black","gold","patent"
"34",3,3,19,"navy","gold","matte"
"35",3,2,19,"navy","silver","patent"
"36",3,5,15,"gray","silver","patent"
"37",3,10,15,"black","silver","matte"
"38",3,6,17,"navy","silver","patent"
"39",3,2,19,"navy","silver","patent"
"40",3,4,17,"navy","gold","patent"
"41",3,8,20,"gray","silver","matte"
"42",3,4,17,"gray","silver","patent"
"43",3,8,20,"gray","silver","matte"
"44",3,8,20,"black","silver","patent"
"45",3,6,20,"navy","gold","matte"
"46",4,2,17,"gray","silver","patent"
"47",4,10,15,"navy","silver","matte"
"48",4,7,15,"black","gold","patent"
"49",4,2,19,"navy","gold","matte"
"50",4,2,19,"navy","silver","patent"
"51",4,8,15,"gray","silver","patent"
"52",4,10,15,"black","silver","matte"
"53",4,4,17,"navy","silver","patent"
"54",4,3,19,"navy","silver","patent"
"55",4,4,17,"navy","gold","patent"
"56",4,7,20,"gray","silver","matte"
"57",4,7,17,"gray","silver","patent"
"58",4,7,20,"gray","silver","matte"
"59",4,8,20,"black","silver","patent"
"60",4,8,20,"navy","gold","matte"
"61",5,7,17,"gray","silver","patent"
"62",5,6,15,"navy","silver","matte"
"63",5,10,15,"black","gold","patent"
"64",5,7,19,"navy","gold","matte"
"65",5,5,19,"navy","silver","patent"
"66",5,6,15,"gray","silver","patent"
"67",5,8,15,"black","silver","matte"
"68",5,6,17,"navy","silver","patent"
"69",5,3,19,"navy","silver","patent"
"70",5,10,17,"navy","gold","patent"
"71",5,2,20,"gray","silver","matte"
"72",5,5,17,"gray","silver","patent"
"73",5,5,20,"gray","silver","matte"
"74",5,6,20,"black","silver","patent"
"75",5,7,20,"navy","gold","matte"
"76",6,3,17,"gray","silver","patent"
"77",6,7,15,"navy","silver","matte"
"78",6,10,15,"black","gold","patent"
"79",6,4,19,"navy","gold","matte"
"80",6,4,19,"navy","silver","patent"
"81",6,6,15,"gray","silver","patent"
"82",6,10,15,"black","silver","matte"
"83",6,3,17,"navy","silver","patent"
"84",6,2,19,"navy","silver","patent"
"85",6,6,17,"navy","gold","patent"
"86",6,10,20,"gray","silver","matte"
"87",6,5,17,"gray","silver","patent"
"88",6,9,20,"gray","silver","matte"
"89",6,9,20,"black","silver","patent"
"90",6,9,20,"navy","gold","matte"
"91",7,7,17,"gray","silver","patent"
"92",7,6,15,"navy","silver","matte"
"93",7,10,15,"black","gold","patent"
"94",7,6,19,"navy","gold","matte"
"95",7,2,19,"navy","silver","patent"
"96",7,6,15,"gray","silver","patent"
"97",7,10,15,"black","silver","matte"
"98",7,3,17,"navy","silver","patent"
"99",7,2,19,"navy","silver","patent"
"100",7,6,17,"navy","gold","patent"
"101",7,8,20,"gray","silver","matte"
"102",7,5,17,"gray","silver","patent"
"103",7,9,20,"gray","silver","matte"
"104",7,10,20,"black","silver","patent"
"105",7,8,20,"navy","gold","matte"
"106",8,2,17,"gray","silver","patent"
"107",8,7,15,"navy","silver","matte"
"108",8,9,15,"black","gold","patent"
"109",8,2,19,"navy","gold","matte"
"110",8,2,19,"navy","silver","patent"
"111",8,4,15,"gray","silver","patent"
"112",8,10,15,"black","silver","matte"
"113",8,4,17,"navy","silver","patent"
"114",8,2,19,"navy","silver","patent"
"115",8,7,17,"navy","gold","patent"
"116",8,10,20,"gray","silver","matte"
"117",8,6,17,"gray","silver","patent"
"118",8,10,20,"gray","silver","matte"
"119",8,10,20,"black","silver","patent"
"120",8,8,20,"navy","gold","matte"
"121",9,3,17,"gray","silver","patent"
"122",9,10,15,"navy","silver","matte"
"123",9,8,15,"black","gold","patent"
"124",9,8,19,"navy","gold","matte"
"125",9,2,19,"navy","silver","patent"
"126",9,6,15,"gray","silver","patent"
"127",9,7,15,"black","silver","matte"
"128",9,9,17,"navy","silver","patent"
"129",9,5,19,"navy","silver","patent"
"130",9,7,17,"navy","gold","patent"
"131",9,4,20,"gray","silver","matte"
"132",9,3,17,"gray","silver","patent"
"133",9,7,20,"gray","silver","matte"
"134",9,4,20,"black","silver","patent"
"135",9,10,20,"navy","gold","matte"
"136",10,8,17,"gray","silver","patent"
"137",10,5,15,"navy","silver","matte"
"138",10,5,15,"black","gold","patent"
"139",10,5,19,"navy","gold","matte"
"140",10,2,19,"navy","silver","patent"
"141",10,6,15,"gray","silver","patent"
"142",10,10,15,"black","silver","matte"
"143",10,2,17,"navy","silver","patent"
"144",10,3,19,"navy","silver","patent"
"145",10,4,17,"navy","gold","patent"
"146",10,10,20,"gray","silver","matte"
"147",10,7,17,"gray","silver","patent"
"148",10,10,20,"gray","silver","matte"
"149",10,10,20,"black","silver","patent"
"150",10,6,20,"navy","gold","matte"
"151",11,6,17,"gray","silver","patent"
"152",11,7,15,"navy","silver","matte"
"153",11,10,15,"black","gold","patent"
"154",11,8,19,"navy","gold","matte"
"155",11,2,19,"navy","silver","patent"
"156",11,7,15,"gray","silver","patent"
"157",11,10,15,"black","silver","matte"
"158",11,5,17,"navy","silver","patent"
"159",11,2,19,"navy","silver","patent"
"160",11,5,17,"navy","gold","patent"
"161",11,9,20,"gray","silver","matte"
"162",11,7,17,"gray","silver","patent"
"163",11,10,20,"gray","silver","matte"
"164",11,10,20,"black","silver","patent"
"165",11,9,20,"navy","gold","matte"
"166",12,2,17,"gray","silver","patent"
"167",12,3,15,"navy","silver","matte"
"168",12,10,15,"black","gold","patent"
"169",12,2,19,"navy","gold","matte"
"170",12,4,19,"navy","silver","patent"
"171",12,6,15,"gray","silver","patent"
"172",12,6,15,"black","silver","matte"
"173",12,4,17,"navy","silver","patent"
"174",12,4,19,"navy","silver","patent"
"175",12,6,17,"navy","gold","patent"
"176",12,10,20,"gray","silver","matte"
"177",12,5,17,"gray","silver","patent"
"178",12,10,20,"gray","silver","matte"
"179",12,10,20,"black","silver","patent"
"180",12,10,20,"navy","gold","matte"
"181",13,2,17,"gray","silver","patent"
"182",13,6,15,"navy","silver","matte"
"183",13,10,15,"black","gold","patent"
"184",13,5,19,"navy","gold","matte"
"185",13,2,19,"navy","silver","patent"
"186",13,6,15,"gray","silver","patent"
"187",13,8,15,"black","silver","matte"
"188",13,3,17,"navy","silver","patent"
"189",13,2,19,"navy","silver","patent"
"190",13,4,17,"navy","gold","patent"
"191",13,4,20,"gray","silver","matte"
"192",13,4,17,"gray","silver","patent"
"193",13,4,20,"gray","silver","matte"
"194",13,6,20,"black","silver","patent"
"195",13,7,20,"navy","gold","matte"
"196",14,8,17,"gray","silver","patent"
"197",14,5,15,"navy","silver","matte"
"198",14,5,15,"black","gold","patent"
"199",14,2,19,"navy","gold","matte"
"200",14,2,19,"navy","silver","patent"
"201",14,7,15,"gray","silver","patent"
"202",14,9,15,"black","silver","matte"
"203",14,5,17,"navy","silver","patent"
"204",14,2,19,"navy","silver","patent"
"205",14,8,17,"navy","gold","patent"
"206",14,10,20,"gray","silver","matte"
"207",14,4,17,"gray","silver","patent"
"208",14,8,20,"gray","silver","matte"
"209",14,10,20,"black","silver","patent"
"210",14,7,20,"navy","gold","matte"
"211",15,7,17,"gray","silver","patent"
"212",15,10,15,"navy","silver","matte"
"213",15,10,15,"black","gold","patent"
"214",15,3,19,"navy","gold","matte"
"215",15,4,19,"navy","silver","patent"
