"","Channel","Promo","Pass"
"1","Mail","Bundle","YesPass"
"2","Mail","Bundle","YesPass"
"3","Mail","Bundle","YesPass"
"4","Mail","Bundle","YesPass"
"5","Mail","Bundle","YesPass"
"6","Mail","Bundle","YesPass"
"7","Mail","Bundle","YesPass"
"8","Mail","Bundle","YesPass"
"9","Mail","Bundle","YesPass"
"10","Mail","Bundle","YesPass"
"11","Mail","Bundle","YesPass"
"12","Mail","Bundle","YesPass"
"13","Mail","Bundle","YesPass"
"14","Mail","Bundle","YesPass"
"15","Mail","Bundle","YesPass"
"16","Mail","Bundle","YesPass"
"17","Mail","Bundle","YesPass"
"18","Mail","Bundle","YesPass"
"19","Mail","Bundle","YesPass"
"20","Mail","Bundle","YesPass"
"21","Mail","Bundle","YesPass"
"22","Mail","Bundle","YesPass"
"23","Mail","Bundle","YesPass"
"24","Mail","Bundle","YesPass"
"25","Mail","Bundle","YesPass"
"26","Mail","Bundle","YesPass"
"27","Mail","Bundle","YesPass"
"28","Mail","Bundle","YesPass"
"29","Mail","Bundle","YesPass"
"30","Mail","Bundle","YesPass"
"31","Mail","Bundle","YesPass"
"32","Mail","Bundle","YesPass"
"33","Mail","Bundle","YesPass"
"34","Mail","Bundle","YesPass"
"35","Mail","Bundle","YesPass"
"36","Mail","Bundle","YesPass"
"37","Mail","Bundle","YesPass"
"38","Mail","Bundle","YesPass"
"39","Mail","Bundle","YesPass"
"40","Mail","Bundle","YesPass"
"41","Mail","Bundle","YesPass"
"42","Mail","Bundle","YesPass"
"43","Mail","Bundle","YesPass"
"44","Mail","Bundle","YesPass"
"45","Mail","Bundle","YesPass"
"46","Mail","Bundle","YesPass"
"47","Mail","Bundle","YesPass"
"48","Mail","Bundle","YesPass"
"49","Mail","Bundle","YesPass"
"50","Mail","Bundle","YesPass"
"51","Mail","Bundle","YesPass"
"52","Mail","Bundle","YesPass"
"53","Mail","Bundle","YesPass"
"54","Mail","Bundle","YesPass"
"55","Mail","Bundle","YesPass"
"56","Mail","Bundle","YesPass"
"57","Mail","Bundle","YesPass"
"58","Mail","Bundle","YesPass"
"59","Mail","Bundle","YesPass"
"60","Mail","Bundle","YesPass"
"61","Mail","Bundle","YesPass"
"62","Mail","Bundle","YesPass"
"63","Mail","Bundle","YesPass"
"64","Mail","Bundle","YesPass"
"65","Mail","Bundle","YesPass"
"66","Mail","Bundle","YesPass"
"67","Mail","Bundle","YesPass"
"68","Mail","Bundle","YesPass"
"69","Mail","Bundle","YesPass"
"70","Mail","Bundle","YesPass"
"71","Mail","Bundle","YesPass"
"72","Mail","Bundle","YesPass"
"73","Mail","Bundle","YesPass"
"74","Mail","Bundle","YesPass"
"75","Mail","Bundle","YesPass"
"76","Mail","Bundle","YesPass"
"77","Mail","Bundle","YesPass"
"78","Mail","Bundle","YesPass"
"79","Mail","Bundle","YesPass"
"80","Mail","Bundle","YesPass"
"81","Mail","Bundle","YesPass"
"82","Mail","Bundle","YesPass"
"83","Mail","Bundle","YesPass"
"84","Mail","Bundle","YesPass"
"85","Mail","Bundle","YesPass"
"86","Mail","Bundle","YesPass"
"87","Mail","Bundle","YesPass"
"88","Mail","Bundle","YesPass"
"89","Mail","Bundle","YesPass"
"90","Mail","Bundle","YesPass"
"91","Mail","Bundle","YesPass"
"92","Mail","Bundle","YesPass"
"93","Mail","Bundle","YesPass"
"94","Mail","Bundle","YesPass"
"95","Mail","Bundle","YesPass"
"96","Mail","Bundle","YesPass"
"97","Mail","Bundle","YesPass"
"98","Mail","Bundle","YesPass"
"99","Mail","Bundle","YesPass"
"100","Mail","Bundle","YesPass"
"101","Mail","Bundle","YesPass"
"102","Mail","Bundle","YesPass"
"103","Mail","Bundle","YesPass"
"104","Mail","Bundle","YesPass"
"105","Mail","Bundle","YesPass"
"106","Mail","Bundle","YesPass"
"107","Mail","Bundle","YesPass"
"108","Mail","Bundle","YesPass"
"109","Mail","Bundle","YesPass"
"110","Mail","Bundle","YesPass"
"111","Mail","Bundle","YesPass"
"112","Mail","Bundle","YesPass"
"113","Mail","Bundle","YesPass"
"114","Mail","Bundle","YesPass"
"115","Mail","Bundle","YesPass"
"116","Mail","Bundle","YesPass"
"117","Mail","Bundle","YesPass"
"118","Mail","Bundle","YesPass"
"119","Mail","Bundle","YesPass"
"120","Mail","Bundle","YesPass"
"121","Mail","Bundle","YesPass"
"122","Mail","Bundle","YesPass"
"123","Mail","Bundle","YesPass"
"124","Mail","Bundle","YesPass"
"125","Mail","Bundle","YesPass"
"126","Mail","Bundle","YesPass"
"127","Mail","Bundle","YesPass"
"128","Mail","Bundle","YesPass"
"129","Mail","Bundle","YesPass"
"130","Mail","Bundle","YesPass"
"131","Mail","Bundle","YesPass"
"132","Mail","Bundle","YesPass"
"133","Mail","Bundle","YesPass"
"134","Mail","Bundle","YesPass"
"135","Mail","Bundle","YesPass"
"136","Mail","Bundle","YesPass"
"137","Mail","Bundle","YesPass"
"138","Mail","Bundle","YesPass"
"139","Mail","Bundle","YesPass"
"140","Mail","Bundle","YesPass"
"141","Mail","Bundle","YesPass"
"142","Mail","Bundle","YesPass"
"143","Mail","Bundle","YesPass"
"144","Mail","Bundle","YesPass"
"145","Mail","Bundle","YesPass"
"146","Mail","Bundle","YesPass"
"147","Mail","Bundle","YesPass"
"148","Mail","Bundle","YesPass"
"149","Mail","Bundle","YesPass"
"150","Mail","Bundle","YesPass"
"151","Mail","Bundle","YesPass"
"152","Mail","Bundle","YesPass"
"153","Mail","Bundle","YesPass"
"154","Mail","Bundle","YesPass"
"155","Mail","Bundle","YesPass"
"156","Mail","Bundle","YesPass"
"157","Mail","Bundle","YesPass"
"158","Mail","Bundle","YesPass"
"159","Mail","Bundle","YesPass"
"160","Mail","Bundle","YesPass"
"161","Mail","Bundle","YesPass"
"162","Mail","Bundle","YesPass"
"163","Mail","Bundle","YesPass"
"164","Mail","Bundle","YesPass"
"165","Mail","Bundle","YesPass"
"166","Mail","Bundle","YesPass"
"167","Mail","Bundle","YesPass"
"168","Mail","Bundle","YesPass"
"169","Mail","Bundle","YesPass"
"170","Mail","Bundle","YesPass"
"171","Mail","Bundle","YesPass"
"172","Mail","Bundle","YesPass"
"173","Mail","Bundle","YesPass"
"174","Mail","Bundle","YesPass"
"175","Mail","Bundle","YesPass"
"176","Mail","Bundle","YesPass"
"177","Mail","Bundle","YesPass"
"178","Mail","Bundle","YesPass"
"179","Mail","Bundle","YesPass"
"180","Mail","Bundle","YesPass"
"181","Mail","Bundle","YesPass"
"182","Mail","Bundle","YesPass"
"183","Mail","Bundle","YesPass"
"184","Mail","Bundle","YesPass"
"185","Mail","Bundle","YesPass"
"186","Mail","Bundle","YesPass"
"187","Mail","Bundle","YesPass"
"188","Mail","Bundle","YesPass"
"189","Mail","Bundle","YesPass"
"190","Mail","Bundle","YesPass"
"191","Mail","Bundle","YesPass"
"192","Mail","Bundle","YesPass"
"193","Mail","Bundle","YesPass"
"194","Mail","Bundle","YesPass"
